c,classifier,configuration_id,fold_macro_f1,high_impact_f1,high_impact_precision,high_impact_recall,legacy_reproduction_guard,mean_accuracy,mean_balanced_accuracy,mean_feature_count,mean_macro_f1,mean_weighted_f1,min_fold_macro_f1,rank,representation_id,stage,std_macro_f1,task,text_view
0.25,LINEARSVC,S6-R4,0.2476341479|0.2719770644|0.2872136082,,,,,0.6761436359889622,0.28618276879972976,150000.0,0.26894160684663376,0.6741789075869589,0.24763414792365937,6,S6-R4,A2.2,0.016300182426939574,S6,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R3-SUMMARY_DESCRIPTION,0.6296928131|0.6393370920|0.6429794165,0.4110752002203071,0.34596341032804684,0.5079322329870218,PASS,0.7786799403586299,0.6675433297960732,500000.0,0.6373364404952657,0.7947786870720527,0.6296928130633986,1,S2-R3,A2.3,0.005605676421814828,S2,SUMMARY_DESCRIPTION
2.0,LOGREG,S2-R3-DESCRIPTION_ONLY,0.6227244065|0.6300176396|0.6346418496,0.39843325757705833,0.33398216352113536,0.49496108677941963,PASS,0.7727856849767027,0.6587545482043708,500000.0,0.6291279652528586,0.7896544978913683,0.6227244064911599,2,S2-R3,A2.3,0.004905779114150367,S2,DESCRIPTION_ONLY
2.0,LOGREG,S2-R3-SUMMARY_ONLY,0.5897535767|0.6040158005|0.6103569750,0.3624326658601124,0.29262007342332647,0.47669072552237884,FAIL,0.7447722334225308,0.6347375400909011,212350.0,0.6013754506943912,0.7676369696710319,0.5897535766522993,3,S2-R3,A2.3,0.008616015731503187,S2,SUMMARY_ONLY
2.0,LOGREG,S3-R5-SUMMARY_DESCRIPTION,0.4524632595|0.4766878306|0.4795317352,,,,,0.6440511490959678,0.509896455459812,250000.0,0.4695609417675785,0.6677460345130403,0.45246325949229327,1,S3-R5,A2.3,0.012145506788029026,S3,SUMMARY_DESCRIPTION
2.0,LOGREG,S3-R5-DESCRIPTION_ONLY,0.4397246749|0.4666281825|0.4694688879,,,,,0.6407090843128174,0.49491393329999034,250000.0,0.4586072484377348,0.6640523005270308,0.43972467485097905,2,S3-R5,A2.3,0.013402265748088612,S3,DESCRIPTION_ONLY
2.0,LOGREG,S3-R5-SUMMARY_ONLY,0.4191144062|0.4299532163|0.4395293064,,,,,0.5942297566996522,0.47265294237757677,88830.66666666667,0.42953230966207717,0.6278228734153961,0.41911440623951496,3,S3-R5,A2.3,0.008339660637263402,S3,SUMMARY_ONLY
0.25,LINEARSVC,S6-R3-SUMMARY_DESCRIPTION,0.2488606279|0.2729524535|0.2894635448,,,,,0.6752523836151939,0.28893317587321304,150000.0,0.27042554206817904,0.6740098841771722,0.24886062791511598,1,S6-R3,A2.3,0.01667209597558349,S6,SUMMARY_DESCRIPTION
0.25,LINEARSVC,S6-R3-DESCRIPTION_ONLY,0.2353396825|0.2588861874|0.2751364542,,,,,0.6730529530395492,0.27429394641868016,150000.0,0.25645410803604757,0.6701221235197924,0.23533968254008175,2,S6-R3,A2.3,0.016337727631802194,S6,DESCRIPTION_ONLY
0.25,LINEARSVC,S6-R3-SUMMARY_ONLY,0.2377177972|0.2441656549|0.2591296945,,,,,0.6691863402927671,0.2699608323735408,121266.33333333333,0.24700438217598117,0.6621070110524313,0.23771779718547506,3,S6-R3,A2.3,0.008968876405973684,S6,SUMMARY_ONLY
